carId,make,model,seriesYear,price,engineSize,tankCapacity,bodyType,seatingCapacity,transmission
16743,FORD,FALCON,1981,9780,4.9L,67L,UTILITY,3,4M
15086,VOLVO,2,1982,14950,2.1L,60L,4D SEDAN,5,3A
15117,VOLVO,2,1982,16930,2.3L,60L,4D SEDAN,5,3A
15456,HONDA,ACCORD,1982,9499,1.6L,60L,3D HATCHBACK,5,5M
15043,MERCEDES-BENZ,380,1982,68795,3.8L,90L,4D SEDAN,5,4A
17637,MAZDA,RX7,1982,18430,1.1L,55L,2D COUPE,4,5M
17033,TOYOTA,LANDCRUISER,1982,10254,4.2L,70L,2D HARDTOP,3,4M4x4
16015,HOLDEN,CAMIRA,1982,10155,1.6L,60L,4D SEDAN,5,5M
17129,FORD,LASER,1982,8710,1.5L,42L,5D HATCHBACK,5,5M
17104,FORD,LASER,1982,8056,1.5L,42L,5D HATCHBACK,5,3A
16492,TOYOTA,CRESSIDA,1982,15449,2.8L,65L,4D SEDAN,5,4A
16872,TOYOTA,HIACE,1982,8468,1.6L,58L,DUAL CAB P/UP,5,4M
15020,MERCEDES-BENZ,280,1982,55979,2.7L,90L,4D SEDAN,5,4A
16750,FORD,FALCON,1982,11672,4.9L,72L,4D WAGON,5,4M
16760,FORD,FALCON,1982,13428,4.1L,63L,4D SEDAN,0,3A
15226,MAZDA,323,1983,8835,1.5L,45L,4D WAGON,4,5M
17695,TOYOTA,SPRINTER,1983,11740,1.6L,50L,2D COUPE,0,5M
17743,FORD,TELSTAR,1983,12464,2.0L,60L,5D HATCHBACK,5,5M
17140,FORD,LASER,1983,7315,1.3L,42L,5D HATCHBACK,5,4M
16393,TOYOTA,COROLLA,1983,8875,1.3L,50L,4D SEDAN,5,5M
16178,TOYOTA,CELICA,1983,14385,2.0L,61L,2D LIFTBACK,4,4A
16259,MITSUBISHI,COLT,1983,7366,1.4L,40L,5D HATCHBACK,5,4M
14850,BMW,7,1984,59500,3.2L,100L,4D SEDAN,5,4A
15463,HONDA,CITY,1984,6890,1.2L,41L,VAN,2,5M
15111,VOLVO,2,1984,17980,2.1L,60L,4D SEDAN,5,3A
16196,JEEP,LAREDO,1984,19560,4.2L,76L,2D HARDTOP,4,4M4x4
15096,VOLVO,3,1984,17480,2.0L,57L,4D HATCHBACK,5,5M
15236,MAZDA,323,1984,9790,1.5L,42L,5D HATCHBACK,5,3A
15296,MAZDA,626,1984,12775,2.0L,60L,5D HATCHBACK,5,5M
17067,TOYOTA,LANDCRUISER,1984,18725,4.2L,90L,4D WAGON,6,5M4x4
17744,FORD,TELSTAR,1984,10853,2.0L,60L,4D SEDAN,5,4M
17139,FORD,LASER,1984,8636,1.5L,42L,5D HATCHBACK,5,4M
17151,FORD,LASER,1984,10188,1.5L,42L,3D HATCHBACK,5,5M
16465,TOYOTA,COROLLA,1984,8850,1.3L,50L,4D SEDAN,5,4M
16184,TOYOTA,CELICA,1984,16730,2.4L,61L,2D LIFTBACK,4,4A
16260,MITSUBISHI,COLT,1984,8913,1.6L,40L,5D HATCHBACK,5,4M
16959,MITSUBISHI,L300,1984,8374,1.6L,55L,VAN,3,4M
15821,NISSAN,BLUEBIRD,1984,12400,2.0L,60L,4D WAGON,5,5M
17640,JAGUAR,XJ6,1984,48450,4.2L,91L,4D SEDAN,5,3A
16080,TOYOTA,CAMRY,1984,16810,2.0L,55L,5D HATCHBACK,5,4A
15982,HOLDEN,CALAIS,1984,19701,3.3L,63L,4D SEDAN,5,3A
16293,HOLDEN,COMMODORE,1984,13168,3.3L,63L,4D SEDAN,5,3A
16722,FORD,FALCON,1984,14094,4.1L,66L,4D SEDAN,5,3A
16642,FORD,FAIRLANE,1984,21962,4.1L,80L,4D SEDAN,0,3A
16639,FORD,FAIRLANE,1984,22996,4.1L,80L,4D SEDAN,5,3A
15430,HONDA,CITY,1985,8570,1.2L,41L,VAN,2,5M
16205,JEEP,CHEROKEE,1985,28728,5.9L,81L,4D WAGON,5,3A4x4
17465,NISSAN,PATROL,1985,23715,3.2L,82L,4D WAGON,6,5M4x4
15295,MAZDA,626,1985,15605,2.0L,60L,5D HATCHBACK,5,3A
17722,TOYOTA,TARAGO,1985,14442,2.0L,55L,2D WAGON,8,5M
15259,MAZDA,323,1985,15826,1.6L,45L,5D HATCHBACK,5,5M
16395,TOYOTA,COROLLA,1985,11000,1.6L,50L,5D HATCHBACK,5,3A
16392,TOYOTA,COROLLA,1985,12335,1.6L,50L,4D SEDAN,5,3A
17740,FORD,TELSTAR,1985,13529,2.0L,60L,5D HATCHBACK,5,5M
17745,FORD,TELSTAR,1985,16674,2.0L,60L,5D HATCHBACK,5,3A
17042,TOYOTA,LANDCRUISER,1985,18304,4.0L,90L,TROOPCARRIER,11,5M4x4
16013,HOLDEN,CAMIRA,1985,11930,1.8L,60L,4D SEDAN,5,4M
17106,FORD,LASER,1985,10983,1.5L,42L,5D HATCHBACK,5,3A
17116,FORD,LASER,1985,9352,1.3L,42L,5D HATCHBACK,5,4M
15757,HOLDEN,BARINA,1985,8823,1.3L,31L,5D HATCHBACK,5,5M
17418,MITSUBISHI,PAJERO,1985,15867,2.6L,60L,2D HARDTOP,5,5M4x4
16255,MITSUBISHI,COLT,1985,8985,1.4L,40L,5D HATCHBACK,5,4M
15822,NISSAN,BLUEBIRD,1985,11395,2.0L,60L,4D SEDAN,5,4M
17184,MITSUBISHI,MAGNA,1985,15645,2.6L,64L,4D SEDAN,5,4A
17378,MITSUBISHI,NIMBUS,1985,15490,1.8L,50L,4D WAGON,7,3A
15814,HOLDEN,BERLINA,1985,17146,3.3L,63L,4D SEDAN,5,3A
16328,HOLDEN,COMMODORE,1985,13253,3.3L,63L,4D SEDAN,5,5M
15052,MERCEDES-BENZ,230,1985,60425,2.3L,70L,4D WAGON,7,4A
16661,FORD,FAIRMONT,1985,17306,4.1L,66L,4D SEDAN,5,3A
14883,BMW,3,1986,38600,1.8L,58L,4D SEDAN,5,5M
17032,TOYOTA,LANDCRUISER,1986,29422,4.0L,90L,4D WAGON,6,5M4x4
15546,DAIHATSU,CHARADE,1986,14377,1.0L,35L,5D HATCHBACK,4,5M
17712,TOYOTA,TARAGO,1986,20891,2.0L,55L,2D WAGON,8,3A
15414,HONDA,CIVIC,1986,16350,1.5L,46L,4D SEDAN,5,4A
16496,TOYOTA,CRESSIDA,1986,29640,2.8L,70L,4D SEDAN,5,4A
17710,TOYOTA,TARAGO,1986,25580,2.2L,60L,2D WAGON,8,5M
16495,TOYOTA,CRESSIDA,1986,34270,2.8L,70L,4D SEDAN,5,4A
17669,NISSAN,SKYLINE,1986,18685,3.0L,50L,4D SEDAN,5,4A
17497,NISSAN,PINTARA,1986,15865,2.0L,65L,4D WAGON,5,5M
17673,NISSAN,SKYLINE,1986,20810,3.0L,50L,4D SEDAN,5,4A
15369,MAZDA,929,1986,29600,2.0L,60L,2D HARDTOP,5,4A
15286,TOYOTA,4 RUNNER,1986,26818,2.4L,65L,2D WAGON,5,5M4x4
16183,TOYOTA,CELICA,1986,26495,2.0L,60L,2D LIFTBACK,4,5M
14992,ALFA ROMEO,33,1986,20482,1.5L,50L,5D HATCHBACK,5,5M
16408,TOYOTA,COROLLA,1986,13455,1.3L,50L,5D HATCHBACK,5,3A
16413,TOYOTA,COROLLA,1986,13055,1.6L,50L,5D HATCHBACK,5,5M
16388,TOYOTA,COROLLA,1986,13215,1.6L,50L,4D SEDAN,5,5M
17739,FORD,TELSTAR,1986,19117,2.0L,60L,5D HATCHBACK,5,3A
16012,HOLDEN,CAMIRA,1986,16539,1.8L,60L,4D SEDAN,5,5M
17120,FORD,LASER,1986,13865,1.6L,45L,5D HATCHBACK,5,3A
17115,FORD,LASER,1986,14665,1.6L,45L,3D HATCHBACK,5,5M
16871,TOYOTA,HIACE,1986,17940,2.4L,60L,VAN,3,5M
15285,TOYOTA,4 RUNNER,1986,24678,2.4L,65L,2D WAGON,5,5M4x4
15771,HOLDEN,BARINA,1986,9763,1.3L,31L,5D HATCHBACK,5,5M
17431,MITSUBISHI,PAJERO,1986,23186,2.6L,60L,4D WAGON,7,5M4x4
17226,MITSUBISHI,MAGNA,1986,22961,2.6L,64L,4D SEDAN,5,4A
17214,MITSUBISHI,MAGNA,1986,18227,2.6L,64L,4D SEDAN,5,4A
15794,HOLDEN,BERLINA,1986,18914,3.0L,63L,4D SEDAN,5,4A
16002,HOLDEN,CALAIS,1986,26397,3.0L,63L,4D SEDAN,5,4A
16355,HOLDEN,COMMODORE,1986,17530,3.0L,63L,4D SEDAN,5,4A
16346,HOLDEN,COMMODORE,1986,15869,3.0L,63L,4D SEDAN,5,5M
15030,MERCEDES-BENZ,300,1986,79296,3.0L,70L,4D SEDAN,5,4A
16660,FORD,FAIRMONT,1986,19201,4.1L,66L,4D SEDAN,5,3A
16902,TOYOTA,HILUX,1986,16232,2.0L,56L,DUAL CAB P/UP,5,5M
14835,BMW,7,1987,136500,3.4L,90L,4D SEDAN,5,4A
